,city,year,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,kmeans2ciudades
0,sj,1990,18.0,0.1226,0.103725,0.1984833,0.1776167,12.42,297.572857143,297.742857143,292.414285714,299.8,295.9,32.0,73.3657142857,12.42,14.0128571429,2.62857142857,298.59285714289996,280.04999999999995,302.54999999999995,293.15,16.0,4
1,sj,1990,19.0,0.1699,0.142175,0.1623571,0.1554857,22.82,298.211428571,298.442857143,293.951428571,300.9,296.4,17.94,77.3685714286,22.82,15.3728571429,2.37142857143,299.86428571429997,279.52142857142996,304.84999999999997,295.34999999999997,8.6,0
2,sj,1990,20.0,0.03225,0.1729667,0.1572,0.1708429,34.54,298.781428571,298.878571429,295.434285714,300.5,297.3,26.1,82.0528571429,34.54,16.8485714286,2.3,299.86428571429997,279.63571428571,305.34999999999997,295.95,41.4,0
3,sj,1990,21.0,0.1286333,0.2450667,0.2275571,0.2358857,15.36,298.987142857,299.228571429,295.31,301.4,297.0,13.9,80.3371428571,15.36,16.6728571429,2.42857142857,300.6214285714,279.92142857143,306.45,296.45,4.0,0
4,sj,1990,22.0,0.1962,0.2622,0.2512,0.24734,7.52,299.518571429,299.664285714,295.821428571,301.9,297.5,12.2,80.46,7.52,17.21,3.01428571429,302.09285714289996,282.52142857142996,308.15,297.04999999999995,5.8,3
5,sj,1990,23.0,0.15455000000000002,0.17485,0.2543143,0.1817429,9.58,299.63,299.764285714,295.851428571,302.4,298.1,26.49,79.8914285714,9.58,17.2128571429,2.1,301.2642857143,280.09285714286,307.54999999999995,297.04999999999995,39.1,3
6,sj,1990,24.0,0.1129,0.0928,0.2050714,0.2102714,3.48,299.207142857,299.221428571,295.865714286,301.3,297.7,38.6,82.0,3.48,17.2342857143,2.04285714286,300.56428571429996,279.92142857143,305.34999999999997,296.45,29.7,3
7,sj,1990,25.0,0.0725,0.0725,0.1514714,0.1330286,151.12,299.591428571,299.528571429,296.531428571,300.6,298.4,30.0,83.3757142857,151.12,17.9771428571,1.57142857143,301.52142857139995,280.83571428570997,307.04999999999995,295.95,21.1,1
8,sj,1990,26.0,0.10245,0.146175,0.1255714,0.1236,19.32,299.578571429,299.557142857,296.378571429,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.88571428571,301.4785714286,280.53571428570996,307.04999999999995,295.95,21.1,3
9,sj,1990,27.0,0.1476625,0.12155,0.1606833,0.2025667,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.0714285714,2.01428571429,301.4785714286,279.66428571429,307.04999999999995,297.54999999999995,1.1,3
10,sj,1990,28.0,0.192875,0.08235,0.1919429,0.1529286,22.27,299.512857143,299.592857143,296.041428571,301.8,298.0,43.72,81.4671428571,22.27,17.4185714286,2.15714285714,300.7071428571,280.30714285714,304.84999999999997,294.84999999999997,63.7,0
11,sj,1990,29.0,0.2916,0.2118,0.3012,0.2806667,59.17,299.667142857,299.75,296.334285714,302.0,297.3,40.9,82.1442857143,59.17,17.7371428571,2.41428571429,301.2785714286,280.04999999999995,305.95,297.04999999999995,12.2,1
12,sj,1990,30.0,0.1505667,0.1717,0.2269,0.2145571,16.48,299.558571429,299.635714286,295.96,301.8,297.1,42.53,80.7428571429,16.48,17.3414285714,2.07142857143,301.2642857143,279.50714285713997,304.84999999999997,295.95,32.6,3
13,sj,1990,31.0,0.16048335,0.24715,0.3797,0.3813571,32.66,299.862857143,299.95,296.172857143,303.0,298.3,34.6,80.5842857143,32.66,17.5942857143,2.58571428571,301.39285714289997,281.23571428571,307.54999999999995,295.95,37.6,3
14,sj,1990,32.0,0.1704,0.06433333,0.1644429,0.1388571,28.8,300.391428571,300.478571429,296.532857143,302.5,298.8,20.0,79.65,28.8,17.95,2.32857142857,301.34999999999997,280.70714285713996,306.45,296.45,11.4,3
